!!SBtab SBtabVersion="0.8" Document="recon2.v02" TableType="Quantity" TableName="Quantity"				
!Quantity	!SBML:parameter:id	!Value	!Unit	!Description
UPPER_BOUND_R_2HBt2	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2HBt2	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2HBt2	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2HCO3_NAt	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2HCO3_NAt	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2HCO3_NAt	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2HCO3_NAt	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2MCITt	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2MCITt	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2MCITt	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2MCITt	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2OXOADOXm	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2OXOADOXm	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2OXOADOXm	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2OXOADOXm	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2OXOADPTm	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2OXOADPTm	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2OXOADPTm	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2OXOADPTm	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHOXPEGOX	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHOXPEGOX	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHOXPEGOX	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHOXPEGOX	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHOXPEGt	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHOXPEGt	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHOXPEGt	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHOXPEGt	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHPHAMT	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHPHAMT	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHPHAMT	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHPHAMT	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHPHEt	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHPHEt	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHPHEt	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHPHEt	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHPLACOX	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHPLACOX	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHPLACOX	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHPLACOX	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHPLACOX_NADP_	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHPLACOX_NADP_	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHPLACOX_NADP_	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHPLACOX_NADP_	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHXMANDACOX	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHXMANDACOX	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHXMANDACOX	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHXMANDACOX	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34DHXMANDACOX_NADP_	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34DHXMANDACOX_NADP_	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34DHXMANDACOX_NADP_	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34DHXMANDACOX_NADP_	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34HPLFM	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34HPLFM	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34HPLFM	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34HPLFM	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_34HPPOR	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_34HPPOR	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_34HPPOR	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_34HPPOR	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_35CGMPtn	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_35CGMPtn	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_35CGMPtn	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_35CGMPtn	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_3AIBt	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_3AIBt	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_3AIBt	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_3AIBt	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_3AIBTm	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_3AIBTm	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
