127.0.0.1, 2014-01-02 15:37:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2014-01-02 15:38:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.549072
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002434
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001607
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002633
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.005417
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.011390
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.011187
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001466
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001621
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003153
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003076
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003195
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003017
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003373
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002296
127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002102
