!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compartment' TableName='Compartment'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular	nan		
g	Golgi	nan		
m	Mitochondria	nan		
l	l	nan		
n	Nucleus	nan		
p	periplasm	nan		
r	Endoplasmic reticulum	nan		
x	Glyoxysome	nan		

!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compound' TableName='Compound'
!ID	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge
M_acngalacglcgal14acglcgalgluside_hs_c	acngalacglcgal14acglcgalgluside_hs_c	c	0	False		nan	False		0
M_acorn_c	acorn_c	c	0	False		nan	False		0
M_acrn_c	acrn_c	c	0	False		nan	False		0
M_ade_c	ade_c	c	0	False		nan	False		0
M_adhap_hs_c	adhap_hs_c	c	0	False		nan	False		0
M_adn_c	adn_c	c	0	False		nan	False		0
M_adp_c	adp_c	c	0	False		nan	False		0
M_adpglc_c	adpglc_c	c	0	False		nan	False		0
M_adpman_c	adpman_c	c	0	False		nan	False		0
M_adprbp_c	adprbp_c	c	0	False		nan	False		0
M_adprib_c	adprib_c	c	0	False		nan	False		0
M_adrn_c	adrn_c	c	0	False		nan	False		0
M_adrncoa_c	adrncoa_c	c	0	False		nan	False		0
M_adrncrn_c	adrncrn_c	c	0	False		nan	False		0
M_adrnl_c	adrnl_c	c	0	False		nan	False		0
M_adsel_c	adsel_c	c	0	False		nan	False		0
M_aflatoxin_c	aflatoxin_c	c	0	False		nan	False		0
M_ahandrostanglc_c	ahandrostanglc_c	c	0	False		nan	False		0
M_ahcys_c	ahcys_c	c	0	False		nan	False		0
M_ahdt_c	ahdt_c	c	0	False		nan	False		0
M_aicar_c	aicar_c	c	0	False		nan	False		0
M_air_c	air_c	c	0	False		nan	False		0
M_ak2g_hs_c	ak2g_hs_c	c	0	False		nan	False		0
M_ak2gchol_hs_c	ak2gchol_hs_c	c	0	False		nan	False		0
M_ak2gp_hs_c	ak2gp_hs_c	c	0	False		nan	False		0
M_ak2gpe_hs_c	ak2gpe_hs_c	c	0	False		nan	False		0
M_ak2lgchol_hs_c	ak2lgchol_hs_c	c	0	False		nan	False		0
M_akdhap_hs_c	akdhap_hs_c	c	0	False		nan	False		0
M_akg_c	akg_c	c	0	False		nan	False		0
M_akgp_hs_c	akgp_hs_c	c	0	False		nan	False		0
M_ala__B_c	ala__B_c	c	0	False		nan	False		0
M_ala__D_c	ala__D_c	c	0	False		nan	False		0
M_ala__L_c	ala__L_c	c	0	False		nan	False		0
M_aldstrn_c	aldstrn_c	c	0	False		nan	False		0
M_alpa_hs_c	alpa_hs_c	c	0	False		nan	False		0
M_am6sa_c	am6sa_c	c	0	False		nan	False		0
M_amet_c	amet_c	c	0	False		nan	False		0
M_ametam_c	ametam_c	c	0	False		nan	False		0
M_amp_c	amp_c	c	0	False		nan	False		0
M_amuco_c	amuco_c	c	0	False		nan	False		0
M_andrstrn_c	andrstrn_c	c	0	False		nan	False		0
M_andrstrnglc_c	andrstrnglc_c	c	0	False		nan	False		0
M_anth_c	anth_c	c	0	False		nan	False		0
M_antipyrene_c	antipyrene_c	c	0	False		nan	False		0
M_ap4a_c	ap4a_c	c	0	False		nan	False		0
M_apnnox_c	apnnox_c	c	0	False		nan	False		0
M_apoC_c	apoC_c	c	0	False		nan	False		0
M_apoC__Lys_c	apoC__Lys_c	c	0	False		nan	False		0
M_apoC__Lys_btn_c	apoC__Lys_btn_c	c	0	False		nan	False		0
M_appnn_c	appnn_c	c	0	False		nan	False		0
M_aprgstrn_c	aprgstrn_c	c	0	False		nan	False		0
M_aprut_c	aprut_c	c	0	False		nan	False		0
M_aps_c	aps_c	c	0	False		nan	False		0
M_aqcobal_c	aqcobal_c	c	0	False		nan	False		0
M_arab__L_c	arab__L_c	c	0	False		nan	False		0
M_arach_c	arach_c	c	0	False		nan	False		0
M_arachcoa_c	arachcoa_c	c	0	False		nan	False		0
M_arachcrn_c	arachcrn_c	c	0	False		nan	False		0
M_arachd_c	arachd_c	c	0	False		nan	False		0
M_arachdcoa_c	arachdcoa_c	c	0	False		nan	False		0
M_arachdcrn_c	arachdcrn_c	c	0	False		nan	False		0
M_arg__L_c	arg__L_c	c	0	False		nan	False		0
M_argsuc_c	argsuc_c	c	0	False		nan	False		0
M_ascb__L_c	ascb__L_c	c	0	False		nan	False		0
M_asn__L_c	asn__L_c	c	0	False		nan	False		0
M_asp__D_c	asp__D_c	c	0	False		nan	False		0
M_asp__L_c	asp__L_c	c	0	False		nan	False		0
M_atp_c	atp_c	c	0	False		nan	False		0
M_avite1_c	avite1_c	c	0	False		nan	False		0
M_avite2_c	avite2_c	c	0	False		nan	False		0
M_bamppald_c	bamppald_c	c	0	False		nan	False		0
M_betald_c	betald_c	c	0	False		nan	False		0
M_bhb_c	bhb_c	c	0	False		nan	False		0
M_bildglcur_c	bildglcur_c	c	0	False		nan	False		0
M_bilglcur_c	bilglcur_c	c	0	False		nan	False		0
M_bilirub_c	bilirub_c	c	0	False		nan	False		0
M_biliverd_c	biliverd_c	c	0	False		nan	False		0
M_biocyt_c	biocyt_c	c	0	False		nan	False		0
M_btamp_c	btamp_c	c	0	False		nan	False		0
M_btn_c	btn_c	c	0	False		nan	False		0
M_but_c	but_c	c	0	False		nan	False		0
M_bvite_c	bvite_c	c	0	False		nan	False		0
M_bz_c	bz_c	c	0	False		nan	False		0
M_c226coa_c	c226coa_c	c	0	False		nan	False		0
M_c226crn_c	c226crn_c	c	0	False		nan	False		0
M_ca2_c	ca2_c	c	0	False		nan	False		0
M_cala_c	cala_c	c	0	False		nan	False		0
M_camp_c	camp_c	c	0	False		nan	False		0
M_carn_c	carn_c	c	0	False		nan	False		0
M_caro_c	caro_c	c	0	False		nan	False		0
M_carveol_c	carveol_c	c	0	False		nan	False		0
M_cbasp_c	cbasp_c	c	0	False		nan	False		0
M_cbl2_c	cbl2_c	c	0	False		nan	False		0
M_cbp_c	cbp_c	c	0	False		nan	False		0
M_cca_d3_c	cca_d3_c	c	0	False		nan	False		0
M_cdp_c	cdp_c	c	0	False		nan	False		0
M_cdpchol_c	cdpchol_c	c	0	False		nan	False		0
M_cdpdag_hs_c	cdpdag_hs_c	c	0	False		nan	False		0
M_cdpea_c	cdpea_c	c	0	False		nan	False		0
M_cgly_c	cgly_c	c	0	False		nan	False		0
M_chito2pdol_L_c	chito2pdol_L_c	c	0	False		nan	False		0
M_chito2pdol_U_c	chito2pdol_U_c	c	0	False		nan	False		0
M_chol_c	chol_c	c	0	False		nan	False		0
M_cholate_c	cholate_c	c	0	False		nan	False		0
M_cholp_c	cholp_c	c	0	False		nan	False		0
M_chsterol_c	chsterol_c	c	0	False		nan	False		0
M_chsterols_c	chsterols_c	c	0	False		nan	False		0
M_chtn_c	chtn_c	c	0	False		nan	False		0
M_cit_c	cit_c	c	0	False		nan	False		0
M_citr__L_c	citr__L_c	c	0	False		nan	False		0
M_cl_c	cl_c	c	0	False		nan	False		0
M_clpn_hs_c	clpn_hs_c	c	0	False		nan	False		0
M_clpnd_c	clpnd_c	c	0	False		nan	False		0
M_clpndcoa_c	clpndcoa_c	c	0	False		nan	False		0
M_clpndcrn_c	clpndcrn_c	c	0	False		nan	False		0
M_cmp_c	cmp_c	c	0	False		nan	False		0
M_cmp2amep_c	cmp2amep_c	c	0	False		nan	False		0
M_cmpacna_c	cmpacna_c	c	0	False		nan	False		0
M_cmpntm2amep_c	cmpntm2amep_c	c	0	False		nan	False		0
M_cmusa_c	cmusa_c	c	0	False		nan	False		0
M_co_c	co_c	c	0	False		nan	False		0
M_co2_c	co2_c	c	0	False		nan	False		0
M_coa_c	coa_c	c	0	False		nan	False		0
M_coumarin_c	coumarin_c	c	0	False		nan	False		0
M_cpppg3_c	cpppg3_c	c	0	False		nan	False		0
M_creat_c	creat_c	c	0	False		nan	False		0
M_crm_hs_c	crm_hs_c	c	0	False		nan	False		0
M_crmp_hs_c	crmp_hs_c	c	0	False		nan	False		0
M_crn_c	crn_c	c	0	False		nan	False		0
M_crtn_c	crtn_c	c	0	False		nan	False		0
M_crtsl_c	crtsl_c	c	0	False		nan	False		0
M_crtstrn_c	crtstrn_c	c	0	False		nan	False		0
M_crvnc_c	crvnc_c	c	0	False		nan	False		0
M_csn_c	csn_c	c	0	False		nan	False		0
M_ctp_c	ctp_c	c	0	False		nan	False		0
M_cyan_c	cyan_c	c	0	False		nan	False		0
M_cys__L_c	cys__L_c	c	0	False		nan	False		0
M_cysam_c	cysam_c	c	0	False		nan	False		0
M_cyst__L_c	cyst__L_c	c	0	False		nan	False		0
M_cytd_c	cytd_c	c	0	False		nan	False		0
M_dad__2_c	dad__2_c	c	0	False		nan	False		0
M_dadp_c	dadp_c	c	0	False		nan	False		0
M_dag_hs_c	dag_hs_c	c	0	False		nan	False		0
M_dak2gpe_hs_c	dak2gpe_hs_c	c	0	False		nan	False		0
M_damp_c	damp_c	c	0	False		nan	False		0
M_datp_c	datp_c	c	0	False		nan	False		0
M_dcacoa_c	dcacoa_c	c	0	False		nan	False		0
